id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url,dom_colours
8609,A00741,"Leslie, Charles Robert",artist,346,Head of Prince Hal,c.1851,Oil paint on canvas,Bequeathed by Henry Vaughan 1900,1851,1900,support: 140 x 102 mm,140,102,NA,mm,NA,NA,http://www.tate.org.uk/art/images/work/A/A00/A00741_8.jpg,http://www.tate.org.uk/art/artworks/leslie-head-of-prince-hal-a00741,#271E1BFF
8609,A00741,"Leslie, Charles Robert",artist,346,Head of Prince Hal,c.1851,Oil paint on canvas,Bequeathed by Henry Vaughan 1900,1851,1900,support: 140 x 102 mm,140,102,NA,mm,NA,NA,http://www.tate.org.uk/art/images/work/A/A00/A00741_8.jpg,http://www.tate.org.uk/art/artworks/leslie-head-of-prince-hal-a00741,#604229FF
8609,A00741,"Leslie, Charles Robert",artist,346,Head of Prince Hal,c.1851,Oil paint on canvas,Bequeathed by Henry Vaughan 1900,1851,1900,support: 140 x 102 mm,140,102,NA,mm,NA,NA,http://www.tate.org.uk/art/images/work/A/A00/A00741_8.jpg,http://www.tate.org.uk/art/artworks/leslie-head-of-prince-hal-a00741,#936B47FF
12386,A00837,"Reynolds, Sir Joshua",artist,444,The Holy Family with the Infant St John,1788–9,Oil paint on canvas,Presented by the British Institution 1830,1788,1830,support: 1981 x 1492 mm,1981,1492,NA,mm,NA,NA,http://www.tate.org.uk/art/images/work/A/A00/A00837_8.jpg,http://www.tate.org.uk/art/artworks/reynolds-the-holy-family-with-the-infant-st-john-a00837,#39322AFF
12386,A00837,"Reynolds, Sir Joshua",artist,444,The Holy Family with the Infant St John,1788–9,Oil paint on canvas,Presented by the British Institution 1830,1788,1830,support: 1981 x 1492 mm,1981,1492,NA,mm,NA,NA,http://www.tate.org.uk/art/images/work/A/A00/A00837_8.jpg,http://www.tate.org.uk/art/artworks/reynolds-the-holy-family-with-the-infant-st-john-a00837,#5A523DFF
12386,A00837,"Reynolds, Sir Joshua",artist,444,The Holy Family with the Infant St John,1788–9,Oil paint on canvas,Presented by the British Institution 1830,1788,1830,support: 1981 x 1492 mm,1981,1492,NA,mm,NA,NA,http://www.tate.org.uk/art/images/work/A/A00/A00837_8.jpg,http://www.tate.org.uk/art/artworks/reynolds-the-holy-family-with-the-infant-st-john-a00837,#927A57FF
12749,A00839,"Rooke, Thomas Matthews",artist,458,Ruth and Naomi,1876–7,Oil paint on canvas,Presented by the Trustees of the Chantrey Bequest 1877,1876,1877,support: 660 x 394 mm,660,394,NA,mm,NA,NA,http://www.tate.org.uk/art/images/work/A/A00/A00839_8.jpg,http://www.tate.org.uk/art/artworks/rooke-ruth-and-naomi-a00839,#846A52FF
12749,A00839,"Rooke, Thomas Matthews",artist,458,Ruth and Naomi,1876–7,Oil paint on canvas,Presented by the Trustees of the Chantrey Bequest 1877,1876,1877,support: 660 x 394 mm,660,394,NA,mm,NA,NA,http://www.tate.org.uk/art/images/work/A/A00/A00839_8.jpg,http://www.tate.org.uk/art/artworks/rooke-ruth-and-naomi-a00839,#BEAA8EFF
12749,A00839,"Rooke, Thomas Matthews",artist,458,Ruth and Naomi,1876–7,Oil paint on canvas,Presented by the Trustees of the Chantrey Bequest 1877,1876,1877,support: 660 x 394 mm,660,394,NA,mm,NA,NA,http://www.tate.org.uk/art/images/work/A/A00/A00839_8.jpg,http://www.tate.org.uk/art/artworks/rooke-ruth-and-naomi-a00839,#49302CFF
12750,A00840,"Rooke, Thomas Matthews",artist,458,Ruth and Boaz,1876–7,Oil paint on canvas,Presented by the Trustees of the Chantrey Bequest 1877,1876,1877,support: 660 x 337 mm,660,337,NA,mm,NA,NA,http://www.tate.org.uk/art/images/work/A/A00/A00840_8.jpg,http://www.tate.org.uk/art/artworks/rooke-ruth-and-boaz-a00840,#B58C5DFF
